id,Ref,Sample,Category 1,Category 2,Category 3,Category 4,Rock,SiO2,TiO2,Al2O3,Cr2O3,V2O5,Fe2O3,FeO,MnO,MgO,CaO,ZnO,NiO,Na2O,K2O,Total,MgAl2O4,FeAl2O4,MnAl2O4,ZnAl2O4,MgFe2O4,FeFe2O4,MnFe2O4,ZnFe2O4,NiFe2O4,MgCr2O4,FeCr2O4,MnCr2O4,ZnCr2O4,NiCr2O4,MgV2O4,FeV2O4,MnV2O4,Mg2TiO4,Fe2TiO4,id_stone
1,137,,,,,,,0.24,0.98,8.5,31.82,0.91,24.77818523,28.55408403,0,3.58,0,0.3,0,0,0,99.66226926,0.717,0.703,0,0.03,1.335,1.309,0,0.055,0,1.801,1.766,0,0.075,0,0.052,0.051,0,0.053,0.052,1
2,137,,,,,,,0.21,1.18,12.53,32.77,0.78,19.75065473,28.00595874,0,4.59,0,0.25,0,0,0,100.0666135,0.909,1.137,0,0.025,0.915,1.145,0,0.025,0,1.596,1.996,0,0.043,0,0.039,0.048,0,0.055,0.068,1
3,137,,,,,,,0.21,1.35,2,26.86,0.78,36.5620827,29.90122739,0,2.21,0,0.25,0,0,0,100.1233101,0.041,0.314,0,0.002,0.483,3.664,0,0.027,0,0.373,2.828,0,0.021,0,0.011,0.083,0,0.018,0.135,1
4,137,,,,,,,0.06,0.58,10.01,39.01,0.78,17.56025809,28.34405771,0,3.9,0,0.25,0,0,0,100.4943158,0.585,1.055,0,0.019,0.655,1.182,0,0.021,0,1.529,2.759,0,0.049,0,0.031,0.056,0,0.022,0.039,1
5,137,,,,,,,0.11,1.3,10.51,37.97,0.78,18.23653914,25.49168935,0,6.32,0,0.25,0,0,0,100.9682285,0.94,0.758,0,0.018,1.042,0.84,0,0.02,0,2.279,1.837,0,0.045,0,0.047,0.038,0,0.074,0.06,1
6,137,,,,,,,0.02,0.69,12.32,42.53,0.78,12.91060009,23.30885422,0,7.51,0,0.25,0,0,0,100.3194543,1.042,0.91,0,0.017,0.697,0.609,0,0.011,0,2.413,2.107,0,0.04,0,0.045,0.039,0,0.037,0.033,1
7,137,,,,,,,0.21,0.86,2.49,28.92,0.78,34.80752028,29.41633324,0,2.26,0,0.3,0,0,0,100.0438535,0.053,0.385,0,0.003,0.47,3.434,0,0.031,0,0.41,2.997,0,0.027,0,0.011,0.082,0,0.012,0.085,1
8,137,,,,,,,0.17,0.61,10.66,36.66,0.715,19.12467777,28.03097386,0,4.01,0,0.4,0,0,0,100.3806516,0.688,1.042,0,0.034,0.789,1.194,0,0.039,0,1.588,2.405,0,0.078,0,0.031,0.048,0,0.025,0.038,1
9,137,,,,,,,0.09,0.64,12.4,43.7,0.715,11.29474881,24.44718667,0,6.63,0,0.4,0,0,0,100.3169355,0.89,1.075,0,0.027,0.517,0.625,0,0.015,0,2.103,2.542,0,0.063,0,0.035,0.042,0,0.029,0.035,1
10,137,,,,,,,0.06,0.78,12.02,44.62,0.845,10.74120967,22.78300397,0,7.76,0,0.4,0,0,0,100.0092136,0.977,0.926,0,0.025,0.557,0.529,0,0.014,0,2.433,2.307,0,0.062,0,0.047,0.044,0,0.04,0.038,1
11,137,,,,,,,0.21,1.1,14.74,33.97,0.715,18.2580411,25.01232687,0,6.88,0,0.4,0,0,0,101.285368,1.355,0.948,0,0.039,1.071,0.75,0,0.031,0,2.094,1.466,0,0.06,0,0.045,0.031,0,0.065,0.045,1
12,137,,,,,,,0.21,1.44,2.44,24.03,1.625,38.46020346,31.27409424,0,1.94,0,0.55,0,0,0,101.9692977,0.042,0.384,0,0.006,0.428,3.867,0,0.06,0,0.281,2.539,0,0.039,0,0.019,0.174,0,0.016,0.145,1
13,137,,,,,,,0.17,0.2,14.02,36.5,1.625,16.37545665,25.25162486,0,6.38,0,0.55,0,0,0,101.0720815,1.136,1.051,0,0.049,0.847,0.784,0,0.036,0,1.985,1.835,0,0.085,0,0.09,0.083,0,0.01,0.01,1
14,137,,,,,,,0.13,0.62,8.67,41.98,1.625,15.83634055,29.03864254,0,3.88,0,0.55,0,0,0,102.3299831,0.447,0.955,0,0.031,0.521,1.114,0,0.037,0,1.45,3.101,0,0.102,0,0.057,0.122,0,0.02,0.044,1
15,137,,,,,,,0.17,0.58,9.11,47.28,1.625,12.14420419,28.17833618,0,4.97,0,0.55,0,0,0,104.6075404,0.485,0.945,0,0.027,0.413,0.804,0,0.023,0,1.689,3.29,0,0.093,0,0.059,0.115,0,0.02,0.038,1
16,137,,,,,,,0.09,0,13.02,36.96,1.495,20.66152729,24.99560515,0,6.98,0,0.65,0,0,0,104.8521324,1.284,0.661,0,0.059,1.3,0.669,0,0.06,0,2.444,1.258,0,0.113,0,0.1,0.052,0,0,0,1
17,137,,,,,,,0.04,0,13.28,40.76,1.43,17.11206271,22.09996694,0,8.67,0,0.85,0,0,0,104.2420296,1.366,0.592,0,0.066,1.123,0.487,0,0.055,0,2.812,1.219,0,0.137,0,0.1,0.043,0,0,0,1
18,137,,,,,,,0.02,0,13.87,39.49,1.625,16.9734664,22.17463813,0,8.74,0,0.65,0,0,0,103.5431045,1.434,0.635,0,0.053,1.121,0.496,0,0.041,0,2.74,1.214,0,0.101,0,0.114,0.051,0,0,0,1
19,137,,,,,,,0.04,0,13.79,38.47,1.82,17.7275808,22.01336733,0,8.87,0,0.65,0,0,0,103.3809481,1.491,0.572,0,0.054,1.224,0.469,0,0.044,0,2.79,1.07,0,0.101,0,0.134,0.051,0,0,0,1
20,137,,,,,,,0.06,0,10.45,36.9,1.755,21.40092092,26.44965073,0,5.52,0,0.65,0,0,0,103.1855717,0.934,0.683,0,0.054,1.221,0.893,0,0.071,0,2.212,1.617,0,0.129,0,0.107,0.078,0,0,0,1
21,137,,,,,,,0.06,1.92,14.21,30.87,1.755,19.64481187,27.98620891,0,6.04,0,0.65,0,0,0,103.1360208,1.135,1.087,0,0.06,1.002,0.959,0,0.053,0,1.654,1.584,0,0.088,0,0.095,0.091,0,0.098,0.094,1
